league,team_name,transfermarkt_club_name,action
la_liga,RCD Espanyol de Barcelona,RCD Espanyol Barcelona,fix
la_liga,Getafe CF,Getafe Club de Fútbol S. A. D.,fix
la_liga,RCD Mallorca,Real Club Deportivo Mallorca S. A. D.,fix
la_liga,RC Celta de Vigo,Real Club Celta de Vigo S. A. D.,fix
la_liga,CA Osasuna,Club Atlético Osasuna,fix
la_liga,Levante UD,Levante Unión Deportiva S. A. D.,fix
serie_a,AC Milan,Associazione Calcio Milan,fix
serie_a,AS Roma,Associazione Sportiva Roma,fix
serie_a,SSC Napoli,Società Sportiva Calcio Napoli,fix
serie_a,Genoa CFC,Genoa Cricket and Football Club,fix
premier_league,Brighton & Hove Albion FC,Brighton and Hove Albion Football Club,fix
premier_league,AFC Bournemouth,AFC Bournemouth,fix
bundesliga,1. FC Köln,1. Fußball-Club Köln,fix
bundesliga,1. FSV Mainz 05,1. Fußball- und Sportverein Mainz 05,fix
bundesliga,SC Freiburg,Sport-Club Freiburg,fix
bundesliga,RB Leipzig,RasenBallsport Leipzig,fix
